"Symbol","Name","IPOyear","Sector","Industry"
"NTGR","NETGEAR, Inc.","2003","Public Utilities","Telecommunications Equipment"
"NLST","Netlist, Inc.","2006","Technology","Semiconductors"
"NTCT","NetScout Systems, Inc.","1999","Technology","EDP Services"
"NTWK","NetSol Technologies Inc.","1994","Technology","Computer Software: Prepackaged Software"
"NBIX","Neurocrine Biosciences, Inc.","1996","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"NURO","NeuroMetrix, Inc.","2004","n/a","n/a"
"NCBC","New Century Bancorp, Inc. (NC)","n/a","Finance","Major Banks"
"NHTB","New Hampshire Thrift Bancshares, Inc.","n/a","Finance","Savings Institutions"
"NYMT","New York Mortgage Trust, Inc.","n/a","Consumer Services","Real Estate Investment Trusts"
"NYMTP","New York Mortgage Trust, Inc.","n/a","Finance","Finance: Consumer Services"
"NBBC","NewBridge Bancorp","n/a","Finance","Major Banks"
"NEWL","NewLead Holdings Ltd.","n/a","Transportation","Marine Transportation"
"NLNK","NewLink Genetics Corporation","n/a","Health Care","Major Pharmaceuticals"
"NFSB","Newport Bancorp, Inc.","n/a","Finance","Savings Institutions"
"NEWP","Newport Corporation","n/a","Capital Goods","Medical Specialities"
"NWS","News Corporation","n/a","n/a","n/a"
"NWSA","News Corporation","n/a","n/a","n/a"
